Date,Close,Open,High,Low,Volume,Change
"Oct 24, 2005",199.5,201.25,201.5,199.25,67.80K,-0.99%
"Oct 21, 2005",201.5,202.25,202.5,201,40.22K,-0.62%
"Oct 20, 2005",202.75,201.75,203,201,35.94K,0.50%
"Oct 19, 2005",201.75,202,202.25,201.25,35.41K,-0.12%
"Oct 18, 2005",202,203.25,204.25,201.75,43.07K,-0.86%
"Oct 17, 2005",203.75,203,204.5,201.25,48.46K,0.12%
"Oct 14, 2005",203.5,203,203.75,201.25,68.28K,0.00%
"Oct 13, 2005",203.5,205,205.5,202.75,45.20K,-1.09%
"Oct 12, 2005",205.75,202.5,207.5,201.75,68.76K,1.60%
"Oct 11, 2005",202.5,202,204.5,201.75,38.97K,0.25%
"Oct 10, 2005",202,202.5,202.75,201.75,23.56K,-0.25%
"Oct 07, 2005",202.5,204.25,205,202.25,33.79K,-0.86%
"Oct 06, 2005",204.25,204.75,206.75,203.75,34.82K,-0.24%
"Oct 05, 2005",204.75,205.75,207.75,204.5,36.43K,-0.49%
"Oct 04, 2005",205.75,207.75,208.25,204.75,51.99K,-1.44%
"Oct 03, 2005",208.75,205.25,209.5,205,66.75K,1.58%
"Sep 30, 2005",205.5,203.25,207,203,53.28K,0.98%
"Sep 29, 2005",203.5,203.5,204.75,202.5,39.04K,0.12%
"Sep 28, 2005",203.25,203,205.25,202.75,43.39K,0.00%
"Sep 27, 2005",203.25,204.5,204.5,203,47.26K,-0.61%
"Sep 26, 2005",204.5,206.5,207,204.25,45.46K,-1.33%
"Sep 23, 2005",207.25,208,209.75,206.75,36.90K,-0.48%
"Sep 22, 2005",208.25,206.5,210,205.5,58.94K,0.85%
"Sep 21, 2005",206.5,206.75,207.5,205,45.86K,-0.12%
"Sep 20, 2005",206.75,206.25,207.5,205.75,33.51K,0.24%
"Sep 19, 2005",206.25,205.75,207.5,205.5,37.50K,0.00%
"Sep 16, 2005",206.25,206,208,205.5,41.16K,-0.12%
"Sep 15, 2005",206.5,207.5,208,205.75,49.14K,5.90%
"Sep 14, 2005",195,197.5,198,195,0.67K,-1.76%
"Sep 13, 2005",198.5,200,200,196,1.87K,0.00%
"Sep 12, 2005",198.5,203,203,195.25,2.24K,-2.22%
"Sep 09, 2005",203,204,204,203,2.25K,0.12%
"Sep 08, 2005",202.75,203.75,205,202.5,2.86K,-0.73%
"Sep 07, 2005",204.25,206.75,206.75,203.75,4.97K,-1.57%
"Sep 06, 2005",207.5,203.5,208.5,203.5,8.21K,1.97%
"Sep 02, 2005",203.5,207.75,208.75,203,7.33K,-2.05%
"Sep 01, 2005",207.75,201.5,208,201.5,16.48K,3.10%
"Aug 31, 2005",201.5,203,204.5,200,29.99K,-0.98%
"Aug 30, 2005",203.5,204.25,207,203,59.18K,-0.61%
"Aug 29, 2005",204.75,203.75,208.75,203.75,49.46K,0.49%
"Aug 26, 2005",203.75,206,206.5,203,28.16K,-1.21%
"Aug 25, 2005",206.25,208.5,210,205.25,27.22K,-1.20%
"Aug 24, 2005",208.75,210.5,211,208.25,22.99K,-0.83%
"Aug 23, 2005",210.5,212.75,215.75,210,14.73K,-0.94%
"Aug 22, 2005",212.5,210.75,213.5,210.25,16.65K,1.07%
"Aug 19, 2005",210.25,211.25,212.5,208.75,17.06K,-0.47%
"Aug 18, 2005",211.25,212.75,214.5,211,18.02K,-0.82%
"Aug 17, 2005",213,209.25,213.5,208.25,24.90K,1.67%
"Aug 16, 2005",209.5,210.5,212.75,209.25,30.22K,-0.48%
"Aug 15, 2005",210.5,217.25,217.5,210,46.00K,-3.33%
"Aug 12, 2005",217.75,224.25,225,217.5,41.40K,-3.22%
"Aug 11, 2005",225,223,226,223,52.55K,0.90%
"Aug 10, 2005",223,219,223.5,218.75,52.11K,1.94%
"Aug 09, 2005",218.75,222.5,223,217.5,51.70K,-1.46%
"Aug 08, 2005",222,225.75,227,221,41.43K,0.68%
"Aug 05, 2005",220.5,224.5,226.25,220,46.95K,-1.78%
"Aug 04, 2005",224.5,227,227,224,34.24K,-1.10%
"Aug 03, 2005",227,232.5,233.25,225,42.34K,-2.37%
"Aug 02, 2005",232.5,233.75,235.5,229.75,40.42K,0.32%
"Aug 01, 2005",231.75,238,239.5,231.25,49.95K,-2.01%
"Jul 29, 2005",236.5,241,243,236,37.63K,-1.87%
"Jul 28, 2005",241,236.5,241.5,236.5,20.60K,1.90%
"Jul 27, 2005",236.5,233.25,237,232,18.28K,0.96%
"Jul 26, 2005",234.25,231.5,238.75,230.75,26.63K,1.63%
"Jul 25, 2005",230.5,233.75,234.25,227.75,33.10K,-1.28%
"Jul 22, 2005",233.5,234.25,238,232,35.43K,-0.21%
"Jul 21, 2005",234,241.75,243,232.75,32.65K,-3.11%
"Jul 20, 2005",241.5,248,249,238,36.93K,-2.82%
"Jul 19, 2005",248.5,258.5,260,245,46.99K,-4.42%
"Jul 18, 2005",260,260,263.25,251.75,46.12K,0.87%
"Jul 15, 2005",257.75,249.5,258.5,248.5,60.55K,5.10%
"Jul 14, 2005",245.25,237,246,237,1.36K,3.37%
"Jul 13, 2005",237.25,225,238.5,225,4.59K,4.52%
"Jul 12, 2005",227,226.5,228,222.5,4.93K,0.11%
"Jul 11, 2005",226.75,223.75,228,222.5,5.22K,0.22%
"Jul 08, 2005",226.25,233.75,233.75,224,8.87K,-3.21%
"Jul 07, 2005",233.75,229,235,226,11.03K,1.30%
"Jul 06, 2005",230.75,231,233.75,229.5,14.68K,-0.11%
"Jul 05, 2005",231,220.25,235,219.5,18.88K,6.70%
